"Sample","Spore_rep","R","G","B","Y","PDI","Temp","Taxon"
"L350",42,134,87,26,117.462301176705,53.9363524797235,350,"Lycopodium"
"L350",43,125,78,22,106.989838203031,58.0432007046935,350,"Lycopodium"
"L350",44,156,129,66,161.554065696051,36.6454644329212,350,"Lycopodium"
"L350",45,126,88,7,112.601993265523,55.8423555821478,350,"Lycopodium"
"L350",46,160,135,36,163.417202632629,35.9148224970084,350,"Lycopodium"
"L325",1,185,153,69,183.233171646417,28.143854256307,325,"Lycopodium"
"L325",2,178,151,50,176.75569179271,30.6840424342313,325,"Lycopodium"
"L325",3,174,153,50,176.633948673444,30.7317848339435,325,"Lycopodium"
"L325",4,148,109,18,132.514527027027,48.0335188129306,325,"Lycopodium"
"L325",5,145,108,11,129.790026965038,49.1019502097889,325,"Lycopodium"
"L325",6,163,138,20,158.294893689561,37.9235711021329,325,"Lycopodium"
"L325",7,153,112,36,138.800189375155,45.5685531862137,325,"Lycopodium"
"L325",8,154,114,45,141.725709769402,44.4212902865089,325,"Lycopodium"
"L325",9,172,140,37,165.257981651376,35.1929483720093,325,"Lycopodium"
"L325",10,163,144,29,163.593177845277,35.8458126096955,325,"Lycopodium"
"L325",11,160,141,17,158.840691172824,37.7095328734023,325,"Lycopodium"
"L325",12,152,131,8,147.805893255641,42.036904605631,325,"Lycopodium"
"L325",13,165,141,46,164.506873605257,35.4875005469582,325,"Lycopodium"
"L325",14,174,146,89,176.934441482767,30.6139445165619,325,"Lycopodium"
"L325",15,171,148,75,175.353205120258,31.234037207742,325,"Lycopodium"
"L325",16,185,159,107,192.328888234565,24.5769065746805,325,"Lycopodium"
"L325",17,167,156,94,181.839205616167,28.6905076015033,325,"Lycopodium"
"L325",18,151,115,41,140.767304425986,44.7971355192213,325,"Lycopodium"
"L325",19,151,116,34,140.537311244731,44.8873289236349,325,"Lycopodium"
"L325",20,155,101,10,128.590181936524,49.5724776719515,325,"Lycopodium"
"L325",21,152,130,71,155.368859409869,39.0710355255417,325,"Lycopodium"
"L325",22,149,125,38,146.493250991817,42.5516662777186,325,"Lycopodium"
"L325",23,160,128,54,154.759521448054,39.3099915889986,325,"Lycopodium"
"L325",24,129,99,17,118.416046677411,53.5623346363093,325,"Lycopodium"
"L325",25,128,102,5,118.530830647161,53.5173213148389,325,"Lycopodium"
"L325",27,153,123,86,152.900399516489,40.0390590131416,325,"Lycopodium"
"L325",28,147,127,59,149.868872737416,41.2278930441505,325,"Lycopodium"
"L325",29,154,135,70,159.418555665758,37.4829193467618,325,"Lycopodium"
"L325",30,170,134,63,163.795305603769,35.7665468220514,325,"Lycopodium"
"L325",31,154,137,30,155.553974708654,38.9984412907241,325,"Lycopodium"
"L325",32,168,134,58,162.393075874039,36.3164408337101,325,"Lycopodium"
"L325",33,153,132,50,154.366001425738,39.4643131663774,325,"Lycopodium"
"L325",34,157,137,21,155.49671119514,39.0208975705333,325,"Lycopodium"
"L325",35,150,123,32,144.708068435408,43.2517378684675,325,"Lycopodium"
"L325",36,166,159,81,181.82304363997,28.6968456313842,325,"Lycopodium"
"L325",37,173,146,71,174.20366445574,31.6848374683372,325,"Lycopodium"
"L325",38,155,139,56,160.705576183982,36.9782054180462,325,"Lycopodium"
"L325",39,169,149,83,176.339901128192,30.8470975967873,325,"Lycopodium"
"L325",40,159,131,56,156.707548661046,38.5460593486093,325,"Lycopodium"
"L325",41,143,99,44,127.184087217952,50.1238873655091,325,"Lycopodium"
"L325",42,166,132,95,165.117318993305,35.2481101987038,325,"Lycopodium"
"L325",43,158,130,42,153.813926977436,39.680812950025,325,"Lycopodium"
"L325",44,174,153,94,182.395570295066,28.472325374484,325,"Lycopodium"
"L325",45,162,153,66,174.244083808579,31.6689867417337,325,"Lycopodium"
"L325",46,164,163,110,187.619489833871,26.4237294769135,325,"Lycopodium"
"L325",47,162,142,70,167.214954748326,34.4255079418328,325,"Lycopodium"
"L325",48,173,156,94,184.081705616167,27.8110958367974,325,"Lycopodium"
"L325",49,172,147,64,173.599921274485,31.9215995002018,325,"Lycopodium"
"L300",1,180,158,119,196.431125376993,22.9681861266695,300,"Lycopodium"
"L300",2,179,167,103,200.320386805256,21.4429855665661,300,"Lycopodium"
"L300",3,185,158,111,197.280159467902,22.635231581215,300,"Lycopodium"
"L300",4,156,139,27,161.646435846618,36.6092408444636,300,"Lycopodium"
"L300",5,178,156,33,182.886132938389,28.2799478672986,300,"Lycopodium"
"L300",6,169,150,66,179.559162440758,29.5846421800948,300,"Lycopodium"
"L300",7,172,160,88,190.703913270142,25.2141516587678,300,"Lycopodium"
"L300",8,180,169,113,203.441790607497,20.2189056441189,300,"Lycopodium"
"L300",9,190,160,107,200.076554179233,21.5386062042223,300,"Lycopodium"
"L300",10,189,171,109,207.763085318828,18.5242802671262,300,"Lycopodium"
"L300",11,180,174,89,203.817555794916,20.0715467470918,300,"Lycopodium"
"L300",12,176,168,95,198.829028479104,22.0278319689789,300,"Lycopodium"
"L300",13,183,174,126,209.850276249461,17.705774019819,300,"Lycopodium"
"L300",14,175,164,79,193.495991329168,24.1192190866006,300,"Lycopodium"
"L300",15,179,164,101,197.927891329168,22.3812190866006,300,"Lycopodium"
"L300",16,175,155,106,190.679004900905,25.223919646704,300,"Lycopodium"
"L300",17,188,170,118,207.861680008617,18.4856156828953,300,"Lycopodium"
"L300",18,188,166,128,206.345413313227,19.0802300732443,300,"Lycopodium"
"L300",19,187,169,133,208.753092880224,18.1360420077553,300,"Lycopodium"
"L300",20,185,161,112,199.540518580353,21.7488162429987,300,"Lycopodium"
"L300",21,176,160,107,194.739404179233,23.6316062042223,300,"Lycopodium"
"L300",22,183,167,116,203.563059532529,20.1713492029298,300,"Lycopodium"
"L300",23,186,177,128,213.386446725549,16.3190404997846,300,"Lycopodium"
"L300",24,180,170,102,202.697698190435,20.5107065919862,300,"Lycopodium"
"L300",25,188,173,123,210.650584575614,17.3919276174063,300,"Lycopodium"
"L300",26,181,164,95,197.89752314735,22.3931281775097,300,"Lycopodium"
"L300",27,183,155,69,188.839759446359,25.9451923739767,300,"Lycopodium"
"L300",28,179,162,86,194.527030708746,23.7148899181387,300,"Lycopodium"
"L300",29,185,173,120,209.110500484705,17.9958821628608,300,"Lycopodium"
"L300",30,189,169,128,208.854861062042,18.0961329168462,300,"Lycopodium"
"L300",31,186,182,125,216.537075549332,15.0834997845756,300,"Lycopodium"
"L300",32,176,163,82,193.564217837139,24.0924635932788,300,"Lycopodium"
"L300",33,173,160,92,191.613683724688,24.857378931495,300,"Lycopodium"
"L300",34,169,161,106,192.648100398535,24.4517253339078,300,"Lycopodium"
"L300",35,182,178,135,213.495908853942,16.2761141749246,300,"Lycopodium"
"L300",36,184,176,121,210.989634597156,17.2589668246445,300,"Lycopodium"
"L300",37,175,175,102,204.338611105127,19.8672113313227,300,"Lycopodium"
"L300",38,178,167,114,201.392661805256,21.0224855665661,300,"Lycopodium"
"L300",39,182,178,112,210.456772490306,17.4679323567428,300,"Lycopodium"
"L300",40,186,166,98,201.618872404136,20.9337755277897,300,"Lycopodium"
"L300",41,182,173,98,205.059825484705,19.5843821628608,300,"Lycopodium"
"L300",42,181,176,105,207.731777778975,18.5365577337355,300,"Lycopodium"
"L300",43,176,170,118,203.286980008617,20.2796156828953,300,"Lycopodium"
"L300",44,192,180,116,216.216383110728,15.2092615252046,300,"Lycopodium"
"L300",45,179,177,119,209.528644452822,17.8319041361482,300,"Lycopodium"
"L300",46,175,162,76,191.680767072383,24.8310717363206,300,"Lycopodium"
"L300",47,172,167,119,199.765993623438,21.6603946574752,300,"Lycopodium"
"L300",48,183,172,85,203.013870174494,20.3867175786299,300,"Lycopodium"
"L300",49,185,163,104,199.902242837139,21.6069635932788,300,"Lycopodium"
"L300",50,176,161,94,193.731039034899,24.027043515726,300,"Lycopodium"
"L300",51,179,166,106,200.007388313227,21.5657300732443,300,"Lycopodium"
"L300",52,187,164,111,202.299054965532,20.6670372684188,300,"Lycopodium"
"L300",53,196,168,142,212.663937570013,16.6023774235243,300,"Lycopodium"
"L300",54,177,166,105,199.112801949591,21.9165482550625,300,"Lycopodium"
"L275",1,184,178,107,210.845657142857,17.3154285714286,275,"Lycopodium"
"L275",2,182,165,127,203.400992857143,20.2349047619048,275,"Lycopodium"
"L275",3,185,177,117,211.806096428571,16.9387857142857,275,"Lycopodium"
"L275",4,186,164,126,204.083907142857,19.9670952380952,275,"Lycopodium"
"L275",5,179,162,93,195.726160714286,23.2446428571429,275,"Lycopodium"
"L275",6,181,155,105,193.049510714286,24.2943095238095,275,"Lycopodium"
"L275",7,177,165,103,198.394067857143,22.1984047619048,275,"Lycopodium"
"L275",8,183,167,92,200.685789285714,21.2996904761905,275,"Lycopodium"
"L275",9,185,176,120,211.480910714286,17.0663095238095,275,"Lycopodium"
"L275",10,183,166,130,204.882603571428,19.653880952381,275,"Lycopodium"
"L275",11,183,173,129,209.742903571429,17.747880952381,275,"Lycopodium"
"L275",12,184,163,126,202.608671428571,20.545619047619,275,"Lycopodium"
"L275",13,175,167,124,201.770389285714,20.8743571428571,275,"Lycopodium"
"L275",14,184,170,122,207.081371428571,18.791619047619,275,"Lycopodium"
"L275",15,174,164,117,198.346407142857,22.2170952380952,275,"Lycopodium"
"L275",16,178,171,132,206.798807142857,18.9024285714286,275,"Lycopodium"
"L275",17,183,168,112,203.982575,20.0068333333333,275,"Lycopodium"
"L275",18,191,162,139,206.244060714286,19.1199761904762,275,"Lycopodium"
"L275",19,178,165,128,202.005292857143,20.7822380952381,275,"Lycopodium"
"L275",20,185,174,110,208.763339285714,18.1320238095238,275,"Lycopodium"
"L275",21,166,173,104,200.032078571429,21.5560476190476,275,"Lycopodium"
"L275",22,177,159,92,192.696153571429,24.4328809523809,275,"Lycopodium"
"L275",23,171,164,91,193.843532142857,23.9829285714286,275,"Lycopodium"
"L275",24,186,162,97,198.911535714286,21.9954761904762,275,"Lycopodium"
"L275",25,178,164,138,202.584507142857,20.5550952380952,275,"Lycopodium"
"L275",26,165,176,85,199.334410714286,21.8296428571429,275,"Lycopodium"
"L275",27,174,171,105,201.785507142857,20.8684285714286,275,"Lycopodium"
"L275",28,177,157,77,189.332582142857,25.7519285714286,275,"Lycopodium"
"L275",29,172,165,92,195.066742857143,23.5032380952381,275,"Lycopodium"
